ano,mes,prec
1995,ENE,3.4 
1995,FEB,0.0 
1995,MAR,119.7 
1995,ABR,19.0 
1995,MAY,26.4 
1995,JUN,82.2 
1995,JUL,292.5 
1995,AGO,131.9 
1995,SEPT,212.4 
1995,OCT,124.4 
1995,NOV,58.8 
1995,DIC,1.8 
1996,ENE,19.8 
1996,FEB,0.4 
1996,MAR,13.5 
1996,ABR,13.1 
1996,MAY,133.6 
1996,JUN,218.2 
1996,JUL,289.4 
1996,AGO,140.5 
1996,SEPT,159.4 
1996,OCT,139.6 
1996,NOV,47.2 
1996,DIC,88.6 
1997,ENE,3.7 
1997,FEB,0.6 
1997,MAR,0.0 
1997,ABR,46.2 
1997,MAY,106.9 
1997,JUN,102.5 
1997,JUL,287.5 
1997,AGO,96.8 
1997,SEPT,61.7 
1997,OCT,94.2 
1997,NOV,61.2 
1997,DIC,0.0 
1998,ENE,0.0 
1998,FEB,0.0 
1998,MAR,39.4 
1998,ABR,89.8 
1998,MAY,170.7 
1998,JUN,96.4 
1998,JUL,148.3 
1998,AGO,106.5 
1998,SEPT,181.1 
1998,OCT,172.7 
1998,NOV,7.1 
1998,DIC,26.3 
1999,ENE,2.6 
1999,FEB,0.2 
1999,MAR,1.0 
1999,ABR,162.0 
1999,MAY,51.8 
1999,JUN,151.6 
1999,JUL,288.2 
1999,AGO,436.0 
1999,SEPT,271.2 
1999,OCT,223.3 
1999,NOV,125.8 
1999,DIC,28.3 
2000,ENE,12.4 
2000,FEB,0.1 
2000,MAR,40.3 
2000,ABR,5.2 
2000,MAY,56.5 
2000,JUN,76.9 
2000,JUL,57.8 
2000,AGO,139.0 
2000,SEPT,307.7 
2000,OCT,119.9 
2000,NOV,59.5 
2000,DIC,5.2 
2001,ENE,0.0 
2001,FEB,0.0 
2001,MAR,0.0 
2001,ABR,0.4 
2001,MAY,22.3 
2001,JUN,106.8 
2001,JUL,95.0 
2001,AGO,159.8 
2001,SEPT,161.9 
2001,OCT,137.1 
2001,NOV,44.5 
2001,DIC,23.6 
2002,ENE,1.3 
2002,FEB,0.0 
2002,MAR,3.6 
2002,ABR,106.7 
2002,MAY,61.9 
2002,JUN,164.1 
2002,JUL,82.0 
2002,AGO,75.5 
2002,SEPT,161.8 
2002,OCT,51.5 
2002,NOV,45.0 
2002,DIC,1.3 
2003,ENE,0.0 
2003,FEB,0.0 
2003,MAR,0.0 
2003,ABR,84.5 
2003,MAY,182.7 
2003,JUN,134.6 
2003,JUL,116.7 
2003,AGO,171.8 
2003,SEPT,126.4
2003,OCT,217.80
2003,NOV,197.70
2003,DIC,18.7
2004,ENE,0.1 
2004,FEB,0.0 
2004,MAR,0.0 
2004,ABR,54.5 
2004,MAY,232.1 
2004,JUN,78.9 
2004,JUL,115.5 
2004,AGO,162.1 
2004,SEPT,193.3
2004,OCT,131.20
2004,NOV,36.10
2004,DIC,11.3
2005,ENE,0.0 
2005,FEB,0.0 
2005,MAR,0.0 
2005,ABR,41.3 
2005,MAY,134.9 
2005,JUN,155.7 
2005,JUL,278.8 
2005,AGO,236.5 
2005,SEPT,141.9
2005,OCT,167.60
2005,NOV,129.20
2005,DIC,5.1
2006,ENE,7.7 
2006,FEB,0.0 
2006,MAR,4.4 
2006,ABR,2.0 
2006,MAY,146.8 
2006,JUN,116.4 
2006,JUL,357.9 
2006,AGO,229.4 
2006,SEPT,142.4
2006,OCT,125.60
2006,NOV,152.60
2006,DIC,9
2007,ENE,27.9 
2007,FEB,0.5 
2007,MAR,52.6 
2007,ABR,38.1 
2007,MAY,102.5 
2007,JUN,94.3 
2007,JUL,90.9 
2007,AGO,329.8 
2007,SEPT,112.5
2007,OCT,170.90
2007,NOV,21.10
2007,DIC,2.7
2008,ENE,0.0 
2008,FEB,0.0 
2008,MAR,5.0 
2008,ABR,76.9 
2008,MAY,130.3 
2008,JUN,55.0 
2008,JUL,75.7 
2008,AGO,124.5 
2008,SEPT,171.4
2008,OCT,204.50
2008,NOV,91.50
2008,DIC,6.3
2009,ENE,1.1 
2009,FEB,2.1 
2009,MAR,2.3 
2009,ABR,25.9 
2009,MAY,171.4 
2009,JUN,58.1 
2009,JUL,79.1 
2009,AGO,163.5 
2009,SEPT,119.8
2009,OCT,142.10
2009,NOV,27.90
2009,DIC,22.3
2010,ENE,0.0 
2010,FEB,1.5 
2010,MAR,6.5 
2010,ABR,124.1 
2010,MAY,296.7 
2010,JUN,287.8 
2010,JUL,214.1 
2010,AGO,195.0 
2010,SEPT,135.6 
2010,OCT,81.3 
2010,NOV,181.7 
2010,DIC,13.1 
2011,ENE,10.5 
2011,FEB,10.5 
2011,MAR,6.0 
2011,ABR,53.1 
2011,MAY,176.8 
2011,JUN,159.3 
2011,JUL,292.6 
2011,AGO,212.1 
2011,SEPT,153.4 
2011,OCT,78.8 
2011,NOV,53.1 
2011,DIC,125.4 
2012,ENE,0.0 
2012,FEB,0.2 
2012,MAR,32.7 
